carat,cut,color,clarity,depth,table,price,x,y,z
0.42,Very Good,F,VS1,59.8,57,921,4.85,4.89,2.91
0.76,Ideal,E,SI1,62.4,57,3087,5.83,5.87,3.65
1.21,Very Good,H,VS1,60.4,59,7196,6.88,6.97,4.18
0.91,Very Good,H,VS2,59.9,62,4201,6.26,6.33,3.77
0.4,Ideal,D,VS2,61.3,56,982,4.74,4.79,2.92
1.02,Good,J,SI2,63.4,56,3534,6.36,6.42,4.05
1.24,Premium,F,VS1,58,58,9930,7.16,7.02,4.11
1.5,Premium,D,SI2,58.9,60,8518,7.48,7.45,4.4
1.31,Ideal,F,VS1,62.1,55,12825,6.97,7,4.34
1.13,Premium,G,VS1,60,60,7404,6.87,6.72,4.08
0.57,Very Good,D,IF,61.3,57,4032,5.33,5.41,3.29
0.41,Very Good,E,SI1,63.1,57,878,4.73,4.71,2.98
0.49,Premium,G,VS2,59.8,59,1240,5.16,5.14,3.08
0.42,Very Good,G,SI1,63.2,57,945,4.79,4.77,3.02
1.14,Premium,E,VVS2,59.7,58,10446,6.91,6.83,4.1
0.91,Very Good,E,VS1,61.8,60,5530,6.17,6.2,3.82
0.32,Premium,H,VS1,60.5,59,720,4.42,4.41,2.67
0.77,Premium,E,SI1,62.9,59,2846,5.84,5.79,3.66
0.8,Ideal,F,SI2,61.4,56,3064,5.99,5.93,3.66
0.51,Premium,F,VS1,61.4,58,1744,5.15,5.18,3.17
1.5,Very Good,H,VVS2,62.9,59,11748,7.26,7.31,4.58
0.31,Very Good,H,VS1,62.8,58,544,4.29,4.31,2.7
0.3,Very Good,G,VVS2,62.1,59,684,4.23,4.27,2.64
1.01,Very Good,F,SI1,61.3,60,5975,6.39,6.43,3.93
1.16,Ideal,I,VS2,61.5,57,5302,6.78,6.75,4.16
0.33,Premium,H,IF,62,58,868,4.39,4.42,2.73
0.72,Very Good,H,SI2,63.3,57,1698,5.7,5.67,3.6
1.01,Premium,H,SI1,62.9,58,3224,6.38,6.34,4
2.03,Premium,G,SI2,60.1,60,17393,8.27,8.2,4.95
0.39,Premium,J,VVS1,62.8,58,921,4.66,4.61,2.91
0.52,Ideal,G,VS1,61.3,56,1576,5.17,5.2,3.18
1.01,Ideal,E,VVS2,62,56,9483,6.43,6.35,4.01
1.26,Ideal,F,IF,62.6,57,13671,6.94,6.84,4.31
